year,ISO,drought,earthquake
2000,AFG,1,0
2000,ARM,1,0
2000,AZE,1,1
2000,BGD,0,1
2000,BGR,1,0
2000,BIH,1,0
2000,BOL,1,0
2000,CHN,1,1
2000,COL,0,1
2000,CUB,1,0
2000,CYP,1,0
2000,GEO,1,0
2000,GRC,0,1
2000,HND,1,0
2000,IDN,0,1
2000,IND,1,0
2000,IRN,0,1
2000,ISL,0,1
2000,JAM,1,0
2000,JOR,1,0
2000,JPN,0,1
2000,MDA,1,0
2000,MDG,1,0
2000,MEX,0,1
2000,MNG,1,0
2000,NIC,1,1
2000,PNG,0,1
2000,ROU,1,0
2000,RUS,0,1
2000,TJK,1,1
2000,TKM,0,1
2000,TUR,0,1
2000,TZA,0,1
2000,USA,1,1
2000,UZB,1,0
2001,AFG,0,1
2001,AGO,1,0
2001,BFA,1,0
2001,BRA,1,0
2001,CHN,1,1
2001,CMR,1,0
2001,GRC,0,1
2001,GTM,1,1
2001,HND,1,0
2001,IDN,0,1
2001,IND,0,1
2001,IRN,0,1
2001,JPN,0,1
2001,KHM,1,0
2001,KOR,1,0
2001,LKA,1,0
2001,MLI,1,0
2001,MOZ,1,0
2001,MRT,1,0
2001,NAM,1,0
2001,NER,1,0
2001,NIC,1,0
2001,PAK,0,1
2001,PER,0,1
2001,PNG,0,1
2001,SLV,1,1
2001,SWZ,1,0
2001,TCD,1,0
2001,TUR,0,1
2001,TZA,0,1
2001,USA,0,1
2001,ZWE,1,0
2002,AFG,0,1
2002,ARG,0,1
2002,AUS,1,0
2002,BRA,1,0
2002,CHN,1,1
2002,CPV,1,0
2002,EGY,0,1
2002,GEO,0,1
2002,GMB,1,0
2002,GNB,1,0
2002,GRC,0,1
2002,HND,1,0
2002,IDN,0,1
2002,IND,1,1
2002,IRN,0,1
2002,ITA,1,1
2002,KHM,1,0
2002,LSO,1,0
2002,MDG,1,0
2002,MEX,1,0
2002,MWI,1,0
2002,NAM,1,0
2002,PAK,0,1
2002,PER,1,0
2002,PHL,1,1
2002,PNG,0,1
2002,RWA,0,1
2002,SCG,0,1
2002,SEN,1,0
2002,THA,1,0
2002,TJK,0,1
2002,TUR,0,1
2002,TWN,0,1
2002,TZA,0,1
2002,UGA,1,0
2002,USA,1,0
2002,VNM,1,0
2002,VUT,0,1
2003,AFG,0,1
2003,ARG,1,0
2003,BDI,1,0
2003,BGD,0,1
2003,BIH,1,0
2003,CHN,1,1
2003,CRI,0,1
2003,DOM,0,1
2003,DZA,0,1
2003,ETH,1,0
2003,GRC,0,1
2003,HRV,1,0
2003,HTI,1,0
2003,HUN,1,0
2003,IDN,1,1
2003,IRN,0,1
2003,ITA,0,1
2003,JPN,0,1
2003,KAZ,0,1
2003,MEX,0,1
2003,MOZ,1,0
2003,PAN,0,1
2003,RUS,1,1
2003,RWA,1,0
2003,TUR,0,1
2003,TZA,1,0
2003,USA,0,1
2004,AFG,0,1
2004,AGO,1,0
2004,BDI,0,1
2004,BGD,0,1
2004,BOL,1,0
2004,BRA,1,0
2004,CHN,0,1
2004,COL,0,1
2004,CRI,0,1
2004,CUB,1,0
2004,DEU,0,1
2004,DMA,0,1
